,OTU,environmental_category,dsrab_type,supercluster,level1_taxon,level2_taxon,level3_taxon
4471,uncultured_bacterium__AB493889,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4472,uncultured_bacterium__AB493890,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4473,uncultured_bacterium__AB493891,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4474,uncultured_bacterium__AB493892,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4475,uncultured_bacterium__AB493893,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4476,uncultured_bacterium__AB493894,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4477,uncultured_bacterium__AB493895,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
4478,uncultured_bacterium__AB493896,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4479,uncultured_bacterium__AB493897,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4480,uncultured_bacterium__AB493898,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4481,uncultured_bacterium__AB493899,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4482,uncultured_bacterium__AB493900,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4483,uncultured_bacterium__AB493902,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4484,uncultured_bacterium__AB493903,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4485,uncultured_bacterium__AB493905,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4486,uncultured_bacterium__AB493907,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4487,uncultured_bacterium__AB493911,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4488,uncultured_bacterium__AB493912,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
4489,uncultured_sulfate-reducing__AB562335,Freshwater,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 5
4490,uncultured_sulfate-reducing__AB562337,Freshwater,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 5
4491,uncultured_sulfate-reducing__DQ250752,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
4492,uncultured_sulfate-reducing__DQ250753,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4493,uncultured_sulfate-reducing__DQ250754,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4494,uncultured_sulfate-reducing__DQ250756,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4495,uncultured_sulfate-reducing__DQ250758,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4496,uncultured_sulfate-reducing__DQ250759,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4497,uncultured_sulfate-reducing__DQ250760,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
4498,uncultured_sulfate-reducing__DQ250761,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
4499,uncultured_sulfate-reducing__DQ250763,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacca acetoxidans lineage
4500,uncultured_sulfate-reducing__DQ250765,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
4501,uncultured_sulfate-reducing__DQ250769,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
4502,uncultured_sulfate-reducing__DQ250773,Freshwater,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4503,uncultured_sulfate-reducing__DQ250774,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4504,uncultured_sulfate-reducing__DQ250777,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomonile tiedjei lineage
4505,uncultured_sulfate-reducing__DQ250781,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4506,uncultured_sulfate-reducing__DQ250785,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomonile tiedjei lineage
4507,uncultured_sulfate-reducing__DQ250787,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
4508,uncultured_sulfate-reducing__DQ250788,Freshwater,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4509,uncultured_sulfate-reducing__DQ250791,Freshwater,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4510,uncultured_sulfate-reducing__EF089534,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4511,uncultured_sulfate-reducing__EF089535,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4512,uncultured_sulfate-reducing__EF089536,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4513,uncultured_sulfate-reducing__EF089537,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4514,uncultured_sulfate-reducing__EF089538,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4515,uncultured_sulfate-reducing__EF089539,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4516,uncultured_sulfate-reducing__EF089540,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4517,uncultured_sulfate-reducing__EF089542,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4518,uncultured_sulfate-reducing__EF089543,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4519,uncultured_sulfate-reducing__EF089544,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4520,uncultured_sulfate-reducing__EF089549,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4521,uncultured_sulfate-reducing__EF089550,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4522,uncultured_sulfate-reducing__EF089551,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4523,uncultured_sulfate-reducing__EF089552,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4524,uncultured_sulfate-reducing__EF089553,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4525,uncultured_sulfate-reducing__EF089554,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4526,uncultured_sulfate-reducing__EF089555,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4527,uncultured_sulfate-reducing__EF089556,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4528,uncultured_sulfate-reducing__EF089557,Symbiotic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4529,uncultured_sulfate-reducing__EU189153,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4530,uncultured_sulfate-reducing__EU189155,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4531,uncultured_sulfate-reducing__EU189156,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4532,uncultured_sulfate-reducing__EU189158,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4533,uncultured_sulfate-reducing__EU189161,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4534,uncultured_sulfate-reducing__EU189162,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4535,uncultured_sulfate-reducing__EU189163,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4536,uncultured_sulfate-reducing__EU189164,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4537,uncultured_sulfate-reducing__EU189165,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4538,uncultured_sulfate-reducing__EU189167,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4539,uncultured_sulfate-reducing__EU189168,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4540,uncultured_sulfate-reducing__EU189169,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4541,uncultured_sulfate-reducing__EU189170,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4542,uncultured_sulfate-reducing__EU189171,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4543,uncultured_sulfate-reducing__EU189172,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4544,uncultured_sulfate-reducing__EU189173,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4545,uncultured_sulfate-reducing__EU189174,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4546,uncultured_sulfate-reducing__EU189177,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4547,uncultured_sulfate-reducing__EU189178,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4548,uncultured_sulfate-reducing__EU189179,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4549,uncultured_sulfate-reducing__EU189181,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4550,uncultured_sulfate-reducing__EU189182,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4551,uncultured_sulfate-reducing__EU189183,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4552,uncultured_sulfate-reducing__EU552471,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4553,uncultured_sulfate-reducing__EU552472,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4554,uncultured_sulfate-reducing__EU552474,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4555,uncultured_sulfate-reducing__EU552475,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4556,uncultured_sulfate-reducing__EU552477,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4557,uncultured_sulfate-reducing__EU552481,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4558,uncultured_sulfate-reducing__EU552482,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4559,uncultured_sulfate-reducing__EU552483,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4560,uncultured_sulfate-reducing__EU552485,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4561,uncultured_sulfate-reducing__EU552486,Industrial,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4562,uncultured_sulfate-reducing__EU301743,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4563,uncultured_sulfate-reducing__EU301744,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4564,uncultured_sulfate-reducing__EU301745,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4565,uncultured_sulfate-reducing__EU301746,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4566,uncultured_sulfate-reducing__EU301747,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4567,uncultured_sulfate-reducing__EU301749,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4568,uncultured_sulfate-reducing__EU301751,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4569,uncultured_sulfate-reducing__EU301752,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4570,uncultured_sulfate-reducing__EU301753,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4571,uncultured_sulfate-reducing__EU301755,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4572,uncultured_sulfate-reducing__EU301758,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4573,uncultured_sulfate-reducing__EU301759,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4574,uncultured_sulfate-reducing__EU301761,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4575,uncultured_sulfate-reducing__EU301763,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4576,uncultured_sulfate-reducing__EU301766,Soil,Reductive bacterial type DsrAB, Nitrospirae supercluster, Unclassified, Unclassified, Uncultured family-level lineage 10
4577,uncultured_sulfate-reducing__EU495332,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
4578,uncultured_sulfate-reducing__EU495333,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
4579,uncultured_sulfate-reducing__EU495334,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
4580,uncultured_sulfate-reducing__EU495335,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
4581,uncultured_sulfate-reducing__EU495337,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
4582,uncultured_sulfate-reducing__EU495338,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteria
4583,uncultured_sulfate-reducing__EU495339,Thermophilic,Reductive bacterial type DsrAB, Archaeoglobus cluster, Euryarchaeota, Archaeoglobi, Archaeoglobus
4584,uncultured_sulfate-reducing__EU495342,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
4585,uncultured_sulfate-reducing__EU495343,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4586,uncultured_sulfate-reducing__EU495345,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4587,uncultured_sulfate-reducing__EU495347,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Unclassified, Unclassified, Unclassified
4588,uncultured_sulfate-reducing__EU495348,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4589,uncultured_sulfate-reducing__EU495349,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
4590,uncultured_sulfate-reducing__EU495350,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4591,uncultured_sulfate-reducing__EU495351,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4592,uncultured_sulfate-reducing__EU495352,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4593,uncultured_sulfate-reducing__EU495353,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4594,uncultured_sulfate-reducing__EU495354,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4595,uncultured_sulfate-reducing__EU495355,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
4596,uncultured_sulfate-reducing__EU495356,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
4597,uncultured_sulfate-reducing__EU495358,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4598,uncultured_sulfate-reducing__EU495360,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4599,uncultured_sulfate-reducing__EU495361,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4600,uncultured_sulfate-reducing__EU495362,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4601,uncultured_sulfate-reducing__EU495363,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4602,uncultured_sulfate-reducing__EU495364,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Unclassified, Unclassified, Unclassified
4603,uncultured_sulfate-reducing__EU495366,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4604,uncultured_sulfate-reducing__EU495367,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Unclassified, Unclassified, Uncultured family-level lineage 1
4605,uncultured_sulfate-reducing__EU495370,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
4606,uncultured_sulfate-reducing__EU495371,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4607,uncultured_sulfate-reducing__EU495374,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
4608,uncultured_sulfate-reducing__EU495376,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4609,uncultured_sulfate-reducing__EU495378,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
4610,uncultured_sulfate-reducing__EU495379,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4611,uncultured_sulfate-reducing__EU495380,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4612,uncultured_sulfate-reducing__EU495381,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4613,uncultured_sulfate-reducing__EU495382,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
4614,uncultured_sulfate-reducing__EU495383,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
4615,uncultured_sulfate-reducing__EU495384,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
4616,uncultured_sulfate-reducing__EU495385,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
4617,uncultured_sulfate-reducing__EU495389,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Syntrophobacteraceae
4618,uncultured_sulfate-reducing__EU495390,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
4619,uncultured_sulfate-reducing__EU495391,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4620,uncultured_sulfate-reducing__EU495392,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4621,uncultured_sulfate-reducing__EU495393,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
4622,uncultured_sulfate-reducing__EU495394,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfovibrionaceae
4623,uncultured_sulfate-reducing__EU495395,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
4624,uncultured_sulfate-reducing__EU779868,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
4625,uncultured_sulfate-reducing__EU779869,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
4626,uncultured_sulfate-reducing__EU779870,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
4627,uncultured_sulfate-reducing__EU779871,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
4628,uncultured_sulfate-reducing__EU779872,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
4629,uncultured_sulfate-reducing__EU779873,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
4630,uncultured_sulfate-reducing__EU779874,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
4631,uncultured_sulfate-reducing__EU779875,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 4
